group_id,post_id,comment_id,text,likes
182032975,1093476,1093484,"Во всех странах с недвижкой дичь. Чтобы среднестатистическому жителю купить квартиру , нужно работать 24 на 7 и питаться солнечным светом . И не факт что заработаешь. Ставки растут, цены растут, а зарплаты или на месте стоят, или урезаются. А потом вопросы, а почему падает рождаемость. А попробуй проживи с детьми , еще при этом откладывая на жилье или на платеж по ипотеке",179
182032975,1093476,1093480,По-моему это повсеместно на голубом шаре,84
182032975,1093476,1093489,Зато вы рожайте при этом и желательно побольше !! Демография себя сама не поднимет. В коробке тоже нормально,74
182032975,1093476,1093483,"Сейчас по всему миру надо копить овер много лет, еще и с повышенной ставкой по ипотеке, с инфляцией и тд. Проще коробку уже купить и жить в ней.",43
182032975,1093476,1093479,Чтобы купить квартиру в Алматы надо копить всю жизнь и ещё после смерти,40
182032975,1093462,1093464,Как уютно стало с этим дизайном🥺🤍❤,7
182032975,1093443,1093451,"Просто здесь Марка есть сильный макияж смоки айс, при этом освещение играет роль. 
Но Марк и Сухен правда похожи, и выглядит очень милыее",21
182032975,1093443,1093467,"Марк красавчик, особенно рядом с другим красавчиком это заметно 😍😍😍😍",6
182032975,1093443,1093553,"На других фото они реально больше похожи, а здесь да, видимо играет роль освещение",0
182032975,1093389,1093397,"Мне очень понравился этот сезон даже больше первого, потому что раскрывает больше аспектов человеческой психологии. То что им давали голосовать после каждой игры делает выбор людей более осознанным. Они не просто крысы в клетке, они остаются в этой клетке по своему выбору. Архетипы персонажей более разнообразны. Хотя используются похожие сюжетных ходы, они обыгрываются совершенно неожиданным образом. Люди ждали того же вау эффекта, потому им было скучно, а не потому что сериал скучный. Но вы не получите тот же эффект от продолжения, потому что уже всё знаете об игре. Это в первом сезоне она являлась чем-то новым. Мой любимый персонаж - Танос. Жаль, что в третьем сезоне его не будет. А актёр, что играл 001 напомнил мне Мадса Миккельсона своими вайбами, есть между ними что-то похожее. И если после первого сезона я ждала второй больше из любопытства. Теперь я чувствую себя реальной фанаткой сериала.

Upd.
Спасибо за лайки всем бро, которым тоже понравился этот сезон. Вы лучшие.",93
182032975,1093389,1093449,Просто👍,46
182032975,1093389,1093391,"за один вечер все посмотрела, уже с первой серий было скучно, что мне пришлось с 1,5х смотреть. некоторые персонажи были прикольными, а так второй сезон реально слабее чем первый. но есть надежда на 3 сезон 

9. Это было так скучно ㅠㅠㅠ В тот момент, когда они набрали всех этих знаменитых актеров, я понял, что они уже показали нам все, что могли

кстати да, с таким составом и ожиданий больше было",44
182032975,1093389,1093401,а я довольна 😚 жду 3 сезон)),28
